subo,f,fam,sp,name,code,group,clus,len,loglen,weight,logwt,wtpred,wtresid,gest,loggest,gestpred,gestresid,inter,loginter,interpred,interresid,long,loglong,longpred,longresid,neolen,logneo,loglen,neoresid,neopred,asm,logasm,asmpred,asmresid,lbathy,bathymean,Ice15sMean,latmean,ablat
Odontoceti,D,Delphinidae,Cephalorhynchus commersonii,Commerson?s dolphin,Cco,1,R,175,2.243038049,72400,4.859738566,4.684337,0.175401566,11.5,1.06069784,1.05774,0.002957869,.,1.376335,.,0,18,1.255272505,1.339698,-0.08442516,65,1.812913357,2.243038049,-0.043549082,1.856462,7.5,0.875061263,0.8248581,0.050203207,3.173186268,1490,0.202,-54.3,54.3
Odontoceti,D,Delphinidae,Cephalorhynchus heavisidii,Heaviside?s dolphin,Che,1,R,174,2.240549248,40000,4.602059991,4.677535,-0.075475099,10.5,1.021189299,1.05763,-0.036441059,.,1.375494,.,0,.,1.325669,.,0,85,1.929418926,2.240549248,0.07492923,1.85449,7.5,0.875061263,0.8244235,0.050637799,3.27600199,1888,0.01,-3.5,3.5
Odontoceti,D,Delphinidae,Cephalorhynchus hectori,Hector?s dolphin,Chc,1,R,180,2.255272505,50000,4.698970004,4.717774,-0.018803847,10.5,1.021189299,1.058279,-0.037089512,36,1.556302501,1.425311,0.13099125,20,1.301029996,1.347268,-0.04623811,60,1.77815125,2.255272505,-0.088008805,1.86616,7.5,0.875061263,0.8269944,0.048066837,2.927370363,846,0.01,-43.3,43.3
Odontoceti,D,Delphinidae,Delphinus delphis,Common dolphin,Dde,1,R,260,2.414973348,80000,4.903089987,5.154237,-0.25114734,10.5,1.021189299,1.065312,-0.044123179,24,1.380211242,1.435875,-0.05566335,22,1.342422681,1.446088,-0.1036652,85,1.929418926,2.414973348,-0.063327677,1.992747,7.5,0.875061263,0.8548812,0.020180024,3.563481085,3660,0.0798,18.3,18.3
Odontoceti,D,Delphinidae,Globicephala macrorhynchus,Short-finned pilot whale,Gma,2,B,720,2.857332496,726000,5.860936621,6.363208,-0.502271227,15,1.176091259,1.084795,0.091296061,84,1.924279286,1.465134,0.45914505,63,1.799340549,1.719811,0.07952944,185,2.267171728,2.857332496,-0.076209952,2.343382,9,0.954242509,0.9321256,0.022116925,3.62324929,4200,0.0135,-1.24,1.2
Odontoceti,D,Delphinidae,Globicephala melas,Long-finned pilot whale,Gme,1,R,630,2.799340549,800000,5.903089987,6.204715,-0.301625481,12,1.079181246,1.082241,-0.003059826,42,1.62324929,1.461298,0.16195091,60,1.77815125,1.683927,0.09422443,176,2.245512668,2.799340549,-0.051901814,2.297414,12,1.079181246,0.9219991,0.157182162,3.596597096,3950,0.492,-31.6,31.6
Odontoceti,D,Delphinidae,Grampus griseus,"Risso?s dolphin, grampus",Ggr,1,R,400,2.602059991,387500,5.588271707,5.665546,-0.077274671,12,1.079181246,1.073552,0.005628955,.,1.49762,.,0,42.5,1.62838893,1.561853,0.06653548,135,2.130333768,2.602059991,-0.010706681,2.14104,.,0.9114566,.,0,3.574031268,3750,0.0206,10.1,10.1
Odontoceti,D,Delphinidae,Lagenodelphis hosei,Fraser?s dolphin,Lho,1,R,270,2.431363764,164000,5.214843848,5.199032,0.015811404,12,1.079181246,1.066034,0.013146889,24,1.380211242,1.436959,-0.05674749,17.5,1.243038049,1.45623,-0.2131919,100,2,2.431363764,-0.005738433,2.005738,7,0.84509804,0.8577433,-0.012645279,3.620136055,4170,0.0162,-0.127,0.1
Odontoceti,D,Delphinidae,Lagenorhynchus acutus,Atlantic white-sided dolphin,Lac,3,R,270,2.431363764,182000,5.260071388,5.199032,0.061038944,10.5,1.021189299,1.066034,-0.044845058,12,1.079181246,1.436959,-0.35777748,27,1.431363764,1.45623,-0.02486619,120,2.079181246,2.431363764,0.073442813,2.005738,9,0.954242509,0.8577433,0.096499191,3.322219295,2100,0.333,59.3,59.3
Odontoceti,D,Delphinidae,Lagenorhynchus albirostris,White-beaked dolphin,.,1,R,305,2.484299839,"180,000",5.255272505,5.343707,-0.088434587,12,1.079181246,1.068366,0.010815438,.,1.457838,.,0,.,1.494382,.,0,115,2.06069784,2.484299839,0.012999736,2.047698,8,0.903089987,0.866987,0.03610302,3.276461804,1890,1.02,62.6,62.6
